Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards,-9999
1,Saquon Barkley,27,PHI,RB,16,16,345,2005,82,1328,3.8,677,2.0,19,18.2,PBAP-1AP MVP-3AP OPoY-1AP CPoY-14,BarkSa00
2,Derrick Henry,30,BAL,RB,17,17,325,1921,94,1012,3.1,909,2.8,42,7.7,PBAP-2AP OPoY-4,HenrDe00
3,Kyren Williams,24,LAR,RB,16,16,316,1299,85,693,2.2,606,1.9,27,11.7,AP OPoY-11,WillKy02
4,Bijan Robinson,22,ATL,RB,17,17,304,1456,82,728,2.4,728,2.4,23,13.2,PB,RobiBi01
5,Jonathan Taylor,25,IND,RB,14,13,303,1431,71,859,2.8,572,1.9,15,20.2,PBAP CPoY-19,TaylJo02
6,Josh Jacobs,26,GNB,RB,17,17,301,1329,73,592,2.0,737,2.4,35,8.6,PBAP OPoY-11,JacoJo01
7,Najee Harris,26,PIT,RB,17,17,263,1043,50,502,1.9,541,2.1,22,12.0,,HarrNa00
8,Tony Pollard,27,TEN,RB,16,16,260,1079,53,521,2.0,558,2.1,22,11.8,,PollTo00
9,Aaron Jones,30,MIN,RB,17,17,255,1138,49,614,2.4,524,2.1,11,23.2,,JoneAa00
10,D'Andre Swift,25,CHI,RB,17,17,253,959,43,511,2.0,448,1.8,7,36.1,,SwifDA00
11,Jahmyr Gibbs,22,DET,RB,17,4,250,1412,70,813,3.3,599,2.4,21,11.9,PBAP OPoY-8,GibbJa01
12,Chuba Hubbard,25,CAR,RB,15,15,250,1195,62,656,2.6,539,2.2,14,17.9,,HubbCh01
13,Joe Mixon,28,HOU,RB,14,14,245,1016,52,549,2.2,467,1.9,19,12.9,PB,MixoJo00
14,James Conner,29,ARI,RB,16,16,236,1094,67,528,2.2,566,2.4,24,9.8,,ConnJa00
15,Rico Dowdle,26,DAL,RB,16,15,235,1079,53,570,2.4,509,2.2,11,21.4,,DowdRi01
