Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points,Week,Name,_position,_team
Harrison Butker K - KC,BAL,3.09,0.0,0.49,0.61,0.42,0.3,9.15,1,Harrison Butker,K,KC
Evan McPherson K - CIN,NE,2.97,0.0,0.43,0.5,0.56,0.31,8.99,1,Evan McPherson,K,CIN
Justin Tucker K - BAL,@KC,2.79,0.0,0.46,0.52,0.52,0.29,8.74,1,Justin Tucker,K,BAL
Tyler Bass K - BUF,ARI,2.8,0.0,0.45,0.57,0.45,0.25,8.46,1,Tyler Bass,K,BUF
Jake Moody K - SF,NYJ,2.95,0.0,0.43,0.55,0.43,0.25,8.43,1,Jake Moody,K,SF
Brandon Aubrey K - DAL,@CLE,2.71,0.0,0.51,0.51,0.4,0.28,8.37,1,Brandon Aubrey,K,DAL
Ka'imi Fairbairn K - HOU,@IND,2.87,0.0,0.43,0.55,0.43,0.24,8.30,1,Ka'imi Fairbairn,K,HOU
Younghoe Koo K - ATL,PIT,2.3,0.0,0.47,0.53,0.41,0.35,8.28,1,Younghoe Koo,K,ATL
Jason Sanders K - MIA,JAX,2.87,0.0,0.44,0.5,0.44,0.25,8.26,1,Jason Sanders,K,MIA
Cameron Dicker K - LAC,LV,2.38,0.0,0.42,0.54,0.48,0.3,8.20,1,Cameron Dicker,K,LAC
Jake Elliott K - PHI,GB,2.5,0.0,0.43,0.49,0.49,0.24,7.93,1,Jake Elliott,K,PHI
Cairo Santos K - CHI,TEN,2.3,0.0,0.42,0.55,0.49,0.24,7.88,1,Cairo Santos,K,CHI
Dustin Hopkins K - CLE Q,DAL,2.36,0.0,0.4,0.52,0.46,0.23,7.65,1,Dustin Hopkins,K,CLE
Greg Zuerlein K - NYJ,@SF,2.23,0.0,0.39,0.5,0.45,0.28,7.65,1,Greg Zuerlein,K,NYJ
Matt Gay K - IND,HOU,2.07,0.0,0.41,0.53,0.41,0.3,7.62,1,Matt Gay,K,IND
Chase McLaughlin K - TB,WAS,2.06,0.0,0.41,0.53,0.41,0.29,7.56,1,Chase McLaughlin,K,TB
Jason Myers K - SEA,DEN,2.27,0.0,0.42,0.54,0.48,0.18,7.49,1,Jason Myers,K,SEA
Jake Bates K - DET,LAR,2.78,0.0,0.32,0.45,0.45,0.2,7.44,1,Jake Bates,K,DET
Daniel Carlson K - LV,@LAC,2.02,0.0,0.45,0.5,0.39,0.28,7.44,1,Daniel Carlson,K,LV
Blake Grupe K - NO,CAR,2.21,0.0,0.41,0.52,0.41,0.23,7.38,1,Blake Grupe,K,NO
Matt Prater K - ARI,@BUF,1.98,0.0,0.4,0.51,0.4,0.28,7.31,1,Matt Prater,K,ARI
Joshua Karty K - LAR,@DET,2.47,0.0,0.4,0.46,0.46,0.17,7.28,1,Joshua Karty,K,LAR
Chris Boswell K - PIT,@ATL,1.96,0.0,0.39,0.5,0.39,0.28,7.20,1,Chris Boswell,K,PIT
Nick Folk K - TEN,@CHI,1.83,0.0,0.39,0.5,0.39,0.28,7.07,1,Nick Folk,K,TEN
Cam Little K - JAX,@MIA,2.38,0.0,0.36,0.54,0.36,0.18,7.06,1,Cam Little,K,JAX
Harrison Butker K - KC,CIN,3.2,0.0,0.5,0.63,0.44,0.31,9.46,2,Harrison Butker,K,KC
Justin Tucker K - BAL,LV,2.97,0.0,0.5,0.56,0.56,0.31,9.38,2,Justin Tucker,K,BAL
Brandon Aubrey K - DAL,NO,2.95,0.0,0.55,0.55,0.43,0.31,9.09,2,Brandon Aubrey,K,DAL
Jake Moody K - SF,@MIN,3,0.0,0.44,0.56,0.44,0.25,8.57,2,Jake Moody,K,SF
Evan McPherson K - CIN,@KC,2.81,0.0,0.41,0.47,0.53,0.29,8.49,2,Evan McPherson,K,CIN
Ka'imi Fairbairn K - HOU,CHI,2.87,0.0,0.43,0.55,0.43,0.24,8.30,2,Ka'imi Fairbairn,K,HOU
Younghoe Koo K - ATL,@PHI,2.28,0.0,0.47,0.53,0.41,0.35,8.26,2,Younghoe Koo,K,ATL
Jason Sanders K - MIA,BUF,2.86,0.0,0.44,0.5,0.44,0.25,8.25,2,Jason Sanders,K,MIA
Greg Zuerlein K - NYJ,@TEN,2.39,0.0,0.42,0.54,0.48,0.3,8.21,2,Greg Zuerlein,K,NYJ
Cameron Dicker K - LAC,@CAR,2.37,0.0,0.42,0.53,0.47,0.3,8.13,2,Cameron Dicker,K,LAC
Tyler Bass K - BUF,@MIA,2.69,0.0,0.43,0.55,0.43,0.24,8.12,2,Tyler Bass,K,BUF
Jake Elliott K - PHI,ATL,2.55,0.0,0.44,0.5,0.5,0.25,8.12,2,Jake Elliott,K,PHI
Jake Bates K - DET,TB,2.86,0.0,0.37,0.49,0.49,0.18,7.81,2,Jake Bates,K,DET
Dustin Hopkins K - CLE Q,@JAX,2.38,0.0,0.41,0.52,0.46,0.23,7.70,2,Dustin Hopkins,K,CLE
Matt Prater K - ARI,LAR,2.07,0.0,0.41,0.53,0.41,0.3,7.62,2,Matt Prater,K,ARI
Chris Boswell K - PIT,@DEN,2.04,0.0,0.41,0.52,0.41,0.29,7.51,2,Chris Boswell,K,PIT
Joshua Karty K - LAR,@ARI,2.54,0.0,0.41,0.47,0.47,0.18,7.49,2,Joshua Karty,K,LAR
