Player,Opp,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points,Week,Name,_position,_team
Christian McCaffrey RB - SF Q,NYJ,0.0,0.0,0.0,78.02,0.69,4.09,32.28,0.24,0.0,0.0,0.0,0.12,20.46,1,Christian McCaffrey,RB,SF
Bijan Robinson RB - ATL,PIT,0.0,0.0,0.0,66.02,0.48,3.42,25.54,0.12,0.0,0.0,0.0,0.12,15.94,1,Bijan Robinson,RB,ATL
Breece Hall RB - NYJ,@SF,0.0,0.0,0.0,68.59,0.51,3.14,23.3,0.11,0.0,0.0,0.0,0.11,15.83,1,Breece Hall,RB,NYJ
Jahmyr Gibbs RB - DET Q,LAR,0.0,0.0,0.0,60.03,0.44,3.4,25.12,0.13,0.0,0.0,0.0,0.06,15.22,1,Jahmyr Gibbs,RB,DET
Saquon Barkley RB - PHI,GB,0.0,0.0,0.0,70.67,0.43,2.68,20.19,0.12,0.0,0.0,0.0,0.12,14.83,1,Saquon Barkley,RB,PHI
Jonathan Taylor RB - IND,HOU,0.0,0.0,0.0,72.73,0.59,2.06,15.68,0.07,0.0,0.0,0.0,0.12,14.62,1,Jonathan Taylor,RB,IND
Kyren Williams RB - LAR View News,@DET,0.0,0.0,0.0,68.26,0.57,2.3,17.05,0.07,0.0,0.0,0.0,0.13,14.41,1,Kyren Williams,RB,LAR
Isiah Pacheco RB - KC,BAL,0.0,0.0,0.0,65.31,0.5,2.45,18.15,0.11,0.0,0.0,0.0,0.06,14.34,1,Isiah Pacheco,RB,KC
Alvin Kamara RB - NO,CAR,0.0,0.0,0.0,48.12,0.27,3.88,28.65,0.13,0.0,0.0,0.0,0.07,13.82,1,Alvin Kamara,RB,NO
Josh Jacobs RB - GB,@PHI,0.0,0.0,0.0,66.2,0.51,2.23,16.12,0.06,0.0,0.0,0.0,0.06,13.76,1,Josh Jacobs,RB,GB
Rachaad White RB - TB,WAS,0.0,0.0,0.0,54.21,0.37,3.14,23.27,0.13,0.0,0.0,0.0,0.12,13.65,1,Rachaad White,RB,TB
Travis Etienne RB - JAX,@MIA,0.0,0.0,0.0,61.75,0.42,2.72,20.4,0.06,0.0,0.0,0.0,0.12,13.58,1,Travis Etienne,RB,JAX
De'Von Achane RB - MIA,JAX,0.0,0.0,0.0,58.69,0.44,2.45,18.99,0.1,0.0,0.0,0.0,0.06,13.34,1,De'Von Achane,RB,MIA
Derrick Henry RB - BAL,@KC,0.0,0.0,0.0,71.42,0.62,1.14,8.26,0.06,0.0,0.0,0.0,0.06,13.07,1,Derrick Henry,RB,BAL
James Conner RB - ARI,@BUF,0.0,0.0,0.0,59.24,0.47,2.25,16.78,0.07,0.0,0.0,0.0,0.07,12.95,1,James Conner,RB,ARI
James Cook RB - BUF,ARI,0.0,0.0,0.0,57.67,0.32,2.58,19.96,0.13,0.0,0.0,0.0,0.06,12.92,1,James Cook,RB,BUF
Joe Mixon RB - HOU,@IND,0.0,0.0,0.0,58.67,0.37,2.49,18.14,0.07,0.0,0.0,0.0,0.06,12.69,1,Joe Mixon,RB,HOU
Jerome Ford RB - CLE,DAL,0.0,0.0,0.0,56.54,0.41,2.53,18.02,0.06,0.0,0.0,0.0,0.1,12.61,1,Jerome Ford,RB,CLE
Aaron Jones RB - MIN,@NYG,0.0,0.0,0.0,55.1,0.37,2.07,15.35,0.11,0.0,0.0,0.0,0.06,11.88,1,Aaron Jones,RB,MIN
Kenneth Walker III RB - SEA,DEN,0.0,0.0,0.0,57.86,0.42,1.89,13.73,0.07,0.0,0.0,0.0,0.06,11.87,1,Kenneth Walker III,RB,SEA
David Montgomery RB - DET,LAR,0.0,0.0,0.0,56.67,0.57,1.24,9.11,0.06,0.0,0.0,0.0,0.06,11.48,1,David Montgomery,RB,DET
D'Andre Swift RB - CHI,TEN,0.0,0.0,0.0,48.18,0.36,2.21,16.16,0.06,0.0,0.0,0.0,0.06,11.04,1,D'Andre Swift,RB,CHI
Devin Singletary RB - NYG,MIN,0.0,0.0,0.0,54.13,0.29,2.09,14.85,0.06,0.0,0.0,0.0,0.06,10.97,1,Devin Singletary,RB,NYG
Raheem Mostert RB - MIA,JAX,0.0,0.0,0.0,52.26,0.44,1.56,11.18,0.06,0.0,0.0,0.0,0.07,10.76,1,Raheem Mostert,RB,MIA
Najee Harris RB - PIT,@ATL,0.0,0.0,0.0,51.97,0.39,1.55,11.05,0.06,0.0,0.0,0.0,0.06,10.43,1,Najee Harris,RB,PIT
Zack Moss RB - CIN,NE,0.0,0.0,0.0,44.49,0.37,1.86,13.72,0.06,0.0,0.0,0.0,0.0,10.26,1,Zack Moss,RB,CIN
Chuba Hubbard RB - CAR View News,@NO,0.0,0.0,0.0,52.02,0.34,1.6,11.45,0.07,0.0,0.0,0.0,0.08,10.25,1,Chuba Hubbard,RB,CAR
Zamir White RB - LV,@LAC,0.0,0.0,0.0,49.96,0.34,1.6,11.63,0.06,0.0,0.0,0.0,0.06,10.04,1,Zamir White,RB,LV
Austin Ekeler RB - WAS,@TB,0.0,0.0,0.0,30.34,0.22,2.78,21.13,0.13,0.0,0.0,0.0,0.06,9.91,1,Austin Ekeler,RB,WAS
