Player,Opp,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points,Week,Name,_position,_team
Sam LaPorta TE - DET Q,LAR,0.0,0.0,0.0,0.0,0.0,5.62,58.2,0.49,0.0,0.0,0.0,0.07,14.24,1,Sam LaPorta,TE,DET
Travis Kelce TE - KC,BAL,0.0,0.0,0.0,0.27,0.0,5.42,57.39,0.47,0.0,0.0,0.0,0.07,13.87,1,Travis Kelce,TE,KC
Dalton Kincaid TE - BUF,ARI,0.0,0.0,0.0,0.0,0.0,5.01,51.69,0.32,0.0,0.0,0.0,0.06,11.98,1,Dalton Kincaid,TE,BUF
Trey McBride TE - ARI,@BUF,0.0,0.0,0.0,0.0,0.0,4.79,49.11,0.3,0.0,0.0,0.0,0.06,11.38,1,Trey McBride,TE,ARI
George Kittle TE - SF,NYJ,0.0,0.0,0.0,0.3,0.0,3.9,53.21,0.36,0.0,0.0,0.0,0.06,11.29,1,George Kittle,TE,SF
Mark Andrews TE - BAL Q,@KC,0.0,0.0,0.0,0.0,0.0,3.92,49.81,0.4,0.0,0.0,0.0,0.06,11.18,1,Mark Andrews,TE,BAL
Kyle Pitts TE - ATL,PIT,0.0,0.0,0.0,0.0,0.0,4.21,52.37,0.31,0.0,0.0,0.0,0.07,11.17,1,Kyle Pitts,TE,ATL
Evan Engram TE - JAX,@MIA,0.0,0.0,0.0,0.0,0.0,4.65,44.87,0.26,0.0,0.0,0.0,0.07,10.56,1,Evan Engram,TE,JAX
Jake Ferguson TE - DAL,@CLE,0.0,0.0,0.0,0.0,0.0,4.24,44.25,0.33,0.0,0.0,0.0,0.06,10.53,1,Jake Ferguson,TE,DAL
David Njoku TE - CLE Q,DAL,0.0,0.0,0.0,0.0,0.0,4.05,43.69,0.31,0.0,0.0,0.0,0.07,10.14,1,David Njoku,TE,CLE
Dallas Goedert TE - PHI Q,GB,0.0,0.0,0.0,0.0,0.0,4,42.85,0.25,0.0,0.0,0.0,0.06,9.67,1,Dallas Goedert,TE,PHI
Dalton Schultz TE - HOU,@IND,0.0,0.0,0.0,0.0,0.0,3.58,37.6,0.3,0.0,0.0,0.0,0.06,9.02,1,Dalton Schultz,TE,HOU
Brock Bowers TE - LV Q,@LAC,0.0,0.0,0.0,0.0,0.0,3.45,38.43,0.28,0.0,0.0,0.0,0.06,8.85,1,Brock Bowers,TE,LV
Cole Kmet TE - CHI,TEN,0.0,0.0,0.0,0.0,0.0,3.27,33.8,0.24,0.0,0.0,0.0,0.06,7.97,1,Cole Kmet,TE,CHI
Pat Freiermuth TE - PIT,@ATL,0.0,0.0,0.0,0.0,0.0,3.19,33.31,0.22,0.0,0.0,0.0,0.06,7.72,1,Pat Freiermuth,TE,PIT
Noah Fant TE - SEA Q,DEN,0.0,0.0,0.0,0.0,0.0,3.15,32.24,0.21,0.0,0.0,0.0,0.0,7.63,1,Noah Fant,TE,SEA
Cade Otton TE - TB,WAS,0.0,0.0,0.0,0.0,0.0,3.03,30.29,0.25,0.0,0.0,0.0,0.0,7.56,1,Cade Otton,TE,TB
Colby Parkinson TE - LAR,@DET,0.0,0.0,0.0,0.0,0.0,2.87,30.88,0.23,0.0,0.0,0.0,0.0,7.34,1,Colby Parkinson,TE,LAR
Jonnu Smith TE - MIA,JAX,0.0,0.0,0.0,0.0,0.0,2.84,28.59,0.25,0.0,0.0,0.0,0.0,7.20,1,Jonnu Smith,TE,MIA
Tyler Conklin TE - NYJ,@SF,0.0,0.0,0.0,0.0,0.0,2.99,29.64,0.19,0.0,0.0,0.0,0.0,7.09,1,Tyler Conklin,TE,NYJ
Hunter Henry TE - NE Q,@CIN,0.0,0.0,0.0,0.0,0.0,2.61,26.28,0.21,0.0,0.0,0.0,0.0,6.50,1,Hunter Henry,TE,NE
Taysom Hill TE - NO,CAR,4.9,0.0,0.0,20.87,0.15,1.4,14.38,0.11,0.0,0.0,0.0,0.09,6.50,1,Taysom Hill,TE,NO
Luke Musgrave TE - GB,@PHI,0.0,0.0,0.0,0.0,0.0,2.47,28.54,0.19,0.0,0.0,0.0,0.0,6.46,1,Luke Musgrave,TE,GB
Johnny Mundt TE - MIN,@NYG,0.0,0.0,0.0,0.0,0.0,2.4,24.63,0.15,0.0,0.0,0.0,0.0,5.76,1,Johnny Mundt,TE,MIN
Chig Okonkwo TE - TEN,@CHI,0.0,0.0,0.0,0.22,0.0,2.39,24.43,0.17,0.0,0.0,0.0,0.06,5.76,1,Chig Okonkwo,TE,TEN
