Player,Opp,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points,Week,Name,_position,_team
Tyreek Hill WR - MIA Q,JAX,0.0,0.0,0.0,2.24,0.0,6.97,99.48,0.56,0.0,0.0,0.0,0.06,20.38,1,Tyreek Hill,WR,MIA
Amon-Ra St. Brown WR - DET,LAR,0.0,0.0,0.0,2.28,0.0,7.04,81.44,0.51,0.0,0.0,0.0,0.06,18.35,1,Amon-Ra St. Brown,WR,DET
CeeDee Lamb WR - DAL EXE View News,@CLE,0.0,0.0,0.0,4.23,0.06,6.58,83.25,0.46,0.0,0.0,0.0,0.06,18.33,1,CeeDee Lamb,WR,DAL
Ja'Marr Chase WR - CIN View News,NE,0.0,0.0,0.0,0.99,0.0,6.48,84.33,0.49,0.0,0.0,0.0,0.06,17.83,1,Ja'Marr Chase,WR,CIN
Justin Jefferson WR - MIN,@NYG,0.0,0.0,0.0,0.69,0.0,6.07,82.44,0.48,0.0,0.0,0.0,0.06,17.14,1,Justin Jefferson,WR,MIN
A.J. Brown WR - PHI,GB,0.0,0.0,0.0,0.37,0.0,5.51,82.73,0.49,0.0,0.0,0.0,0.06,16.64,1,A.J. Brown,WR,PHI
Puka Nacua WR - LAR Q,@DET,0.0,0.0,0.0,2.53,0.0,5.66,75.6,0.42,0.0,0.0,0.0,0.06,15.87,1,Puka Nacua,WR,LAR
Garrett Wilson WR - NYJ,@SF,0.0,0.0,0.0,1.73,0.0,5.53,70.12,0.45,0.0,0.0,0.0,0.06,15.30,1,Garrett Wilson,WR,NYJ
Nico Collins WR - HOU,@IND,0.0,0.0,0.0,0.63,0.0,4.9,72.2,0.44,0.0,0.0,0.0,0.06,14.70,1,Nico Collins,WR,HOU
Cooper Kupp WR - LAR,@DET,0.0,0.0,0.0,1.59,0.0,5.51,65.67,0.43,0.0,0.0,0.0,0.06,14.70,1,Cooper Kupp,WR,LAR
Drake London WR - ATL,PIT,0.0,0.0,0.0,0.67,0.0,5.32,69.1,0.42,0.0,0.0,0.0,0.06,14.70,1,Drake London,WR,ATL
Rashee Rice WR - KC,BAL,0.0,0.0,0.0,0.63,0.0,5.69,61.32,0.42,0.0,0.0,0.0,0.07,14.27,1,Rashee Rice,WR,KC
Davante Adams WR - LV Q,@LAC,0.0,0.0,0.0,0.3,0.0,5.53,66.04,0.37,0.0,0.0,0.0,0.06,14.26,1,Davante Adams,WR,LV
Chris Olave WR - NO,CAR,0.0,0.0,0.0,0.3,0.0,5.2,70.48,0.35,0.0,0.0,0.0,0.06,14.26,1,Chris Olave,WR,NO
Jaylen Waddle WR - MIA Q,JAX,0.0,0.0,0.0,1.19,0.0,5.03,69.06,0.38,0.0,0.0,0.0,0.06,14.22,1,Jaylen Waddle,WR,MIA
Stefon Diggs WR - HOU,@IND,0.0,0.0,0.0,0.31,0.0,5.2,62.86,0.44,0.0,0.0,0.0,0.06,14.04,1,Stefon Diggs,WR,HOU
DeVonta Smith WR - PHI,GB,0.0,0.0,0.0,0.37,0.0,5.21,63.79,0.37,0.0,0.0,0.0,0.06,13.73,1,DeVonta Smith,WR,PHI
Mike Evans WR - TB,WAS,0.0,0.0,0.0,0.29,0.0,4.35,65.07,0.47,0.0,0.0,0.0,0.06,13.59,1,Mike Evans,WR,TB
Tee Higgins WR - CIN,NE,0.0,0.0,0.0,0.31,0.0,4.56,64.94,0.43,0.0,0.0,0.0,0.06,13.55,1,Tee Higgins,WR,CIN
Deebo Samuel Sr. WR - SF,NYJ,0.0,0.0,0.0,14.34,0.15,3.84,53.87,0.35,0.0,0.0,0.0,0.06,13.54,1,Deebo Samuel Sr.,WR,SF
DJ Moore WR - CHI,TEN,0.0,0.0,0.0,1.44,0.0,4.57,63.96,0.42,0.0,0.0,0.0,0.06,13.51,1,DJ Moore,WR,CHI
Marvin Harrison Jr. WR - ARI,@BUF,0.0,0.0,0.0,0.4,0.0,4.64,65.36,0.4,0.0,0.0,0.0,0.06,13.50,1,Marvin Harrison Jr.,WR,ARI
DK Metcalf WR - SEA,DEN,0.0,0.0,0.0,0.3,0.0,4.39,62.81,0.47,0.0,0.0,0.0,0.06,13.40,1,DK Metcalf,WR,SEA
Keenan Allen WR - CHI,TEN,0.0,0.0,0.0,0.69,0.0,5.23,58.06,0.38,0.0,0.0,0.0,0.06,13.27,1,Keenan Allen,WR,CHI
Brandon Aiyuk WR - SF,NYJ,0.0,0.0,0.0,0.31,0.0,4.34,64.1,0.43,0.0,0.0,0.0,0.06,13.24,1,Brandon Aiyuk,WR,SF
Amari Cooper WR - CLE,DAL,0.0,0.0,0.0,0.29,0.0,4.34,63.8,0.41,0.0,0.0,0.0,0.06,13.09,1,Amari Cooper,WR,CLE
Michael Pittman WR - IND,HOU,0.0,0.0,0.0,0.29,0.0,5.39,60,0.29,0.0,0.0,0.0,0.06,13.04,1,Michael Pittman,WR,IND
Tank Dell WR - HOU,@IND,0.0,0.0,0.0,4.01,0.0,4.61,59.2,0.36,0.0,0.0,0.0,0.06,12.97,1,Tank Dell,WR,HOU
Christian Kirk WR - JAX Q,@MIA,0.0,0.0,0.0,0.64,0.0,4.74,60.41,0.35,0.0,0.0,0.0,0.06,12.83,1,Christian Kirk,WR,JAX
Chris Godwin WR - TB,WAS,0.0,0.0,0.0,1.53,0.0,5.13,57.74,0.29,0.0,0.0,0.0,0.06,12.68,1,Chris Godwin,WR,TB
Zay Flowers WR - BAL,@KC,0.0,0.0,0.0,3.03,0.0,4.8,55.25,0.36,0.0,0.0,0.0,0.06,12.67,1,Zay Flowers,WR,BAL
Malik Nabers WR - NYG,MIN,0.0,0.0,0.0,0.86,0.0,4.38,59.43,0.35,0.0,0.0,0.0,0.06,12.39,1,Malik Nabers,WR,NYG
George Pickens WR - PIT,@ATL,0.0,0.0,0.0,0.57,0.0,4.06,61.29,0.34,0.0,0.0,0.0,0.06,12.17,1,George Pickens,WR,PIT
Jayden Reed WR - GB,@PHI,0.0,0.0,0.0,4.57,0.06,4.27,53.24,0.3,0.0,0.0,0.0,0.06,12.09,1,Jayden Reed,WR,GB
Calvin Ridley WR - TEN,@CHI,0.0,0.0,0.0,1.94,0.0,4.19,56.62,0.34,0.0,0.0,0.0,0.06,11.97,1,Calvin Ridley,WR,TEN
Jordan Addison WR - MIN Q,@NYG,0.0,0.0,0.0,1.07,0.0,4.13,57.21,0.34,0.0,0.0,0.0,0.06,11.88,1,Jordan Addison,WR,MIN
Terry McLaurin WR - WAS,@TB,0.0,0.0,0.0,0.33,0.0,4.28,56.48,0.29,0.0,0.0,0.0,0.06,11.58,1,Terry McLaurin,WR,WAS
