Player,Opp,FGM,FGA,FG0_19,FG20_29,FG30_39,FG40_49,FG50,XPM,XPA,Points,Made,0-19,20-29,30-39,40-49,50+,Week,Name,_position,_team
Brandon AubreyK - DAL,@PHI,2.24,0.0,0.41,0.48,0.53,0.53,9.15,,,,,,,,,,1,Brandon Aubrey,K,DAL
Matt GayK - WAS,NYG,2.91,0.0,0.47,0.53,0.47,0.33,8.97,,,,,,,,,,1,Matt Gay,K,WAS
Chase McLaughlinK - TB,@ATL,2.73,0.0,0.39,0.52,0.52,0.39,8.97,,,,,,,,,,1,Chase McLaughlin,K,TB
Tyler BassK - BUFQ,BAL,3.21,0.0,0.4,0.53,0.53,0.27,8.94,,,,,,,,,,1,Tyler Bass,K,BUFQ
Jake BatesK - DET,@GB,2.99,0.0,0.32,0.51,0.51,0.38,8.91,,,,,,,,,,1,Jake Bates,K,DET
Cameron DickerK - LAC,KC,2.39,0.07,0.36,0.56,0.56,0.37,8.89,,,,,,,,,,1,Cameron Dicker,K,LAC
Jake ElliottK - PHI,DAL,2.94,0.0,0.47,0.53,0.53,0.27,8.88,,,,,,,,,,1,Jake Elliott,K,PHI
Harrison ButkerK - KC,@LAC,2.74,0.07,0.37,0.51,0.44,0.38,8.81,,,,,,,,,,1,Harrison Butker,K,KC
Cam LittleK - JAX,CAR,2.51,0.0,0.48,0.54,0.48,0.34,8.71,,,,,,,,,,1,Cam Little,K,JAX
Evan McPhersonK - CIN,@CLE,2.79,0.0,0.39,0.52,0.52,0.32,8.68,,,,,,,,,,1,Evan McPherson,K,CIN
Ka'imi FairbairnK - HOU,@LAR,2.27,0.0,0.43,0.56,0.49,0.37,8.56,,,,,,,,,,1,Ka'imi Fairbairn,K,HOU
Wil LutzK - DEN,TEN,2.32,0.0,0.46,0.51,0.46,0.39,8.56,,,,,,,,,,1,Wil Lutz,K,DEN
Tyler LoopK - BALView News,@BUF,2.93,0.0,0.32,0.52,0.59,0.26,8.52,,,,,,,,,,1,Tyler Loop,K,BAL
Brandon McManusK - GB,DET,2.37,0.0,0.46,0.52,0.52,0.33,8.52,,,,,,,,,,1,Brandon McManus,K,GB
Daniel CarlsonK - LV,@NE,2.1,0.0,0.43,0.43,0.49,0.43,8.3,,,,,,,,,,1,Daniel Carlson,K,LV
