Player,Opp,PassYds,PassTD,Int,RushYds,RushTD,Rec,RecYds,RecTD,RetTD,FumTD,TwoPt,Lost,Points,Week,Name,_position,_team
Christian McCaffreyRB - SF,@SEA,0,0,0,72.82,0.61,4.13,33.64,0.21,0.0,0,0,0.15,19.4,1,Christian McCaffrey,RB,SF
Saquon BarkleyRB - PHI,DAL,0,0,0,99.84,0.69,1.98,15.79,0.11,0.0,0,0,0.12,18.1,1,Saquon Barkley,RB,PHI
Bijan RobinsonRB - ATL,TB,0,0,0,79.62,0.65,2.93,22.14,0.12,0.0,0,0,0.12,17.49,1,Bijan Robinson,RB,ATL
Jahmyr GibbsRB - DET,@GB,0,0,0,72.56,0.72,2.93,23.29,0.1,0.0,0,0,0.12,17.2,1,Jahmyr Gibbs,RB,DET
De'Von AchaneRB - MIAQView News,@IND,0,0,0,61.41,0.46,4.07,30.4,0.19,0.0,0,0,0.13,16.89,1,De'Von Achane,RB,MIAQ
Derrick HenryRB - BAL,@BUF,0,0,0,95.29,0.87,0.91,8.68,0.06,0.0,0,0,0.12,16.65,1,Derrick Henry,RB,BAL
Bucky IrvingRB - TBView News,@ATL,0,0,0,67.28,0.52,2.95,21.86,0.13,0.0,0,0,0.13,15.5,1,Bucky Irving,RB,TB
Josh JacobsRB - GB,DET,0,0,0,69.86,0.61,2.42,18.53,0.12,0.0,0,0,0.12,15.4,1,Josh Jacobs,RB,GB
Kyren WilliamsRB - LAR,HOU,0,0,0,75.46,0.68,2.14,14.92,0.07,0.0,0,0,0.14,15.4,1,Kyren Williams,RB,LAR
Ashton JeantyRB - LVView News,@NE,0,0,0,67.78,0.5,2.4,18.19,0.1,0.0,0,0,0.11,14.38,1,Ashton Jeanty,RB,LV
Alvin KamaraRB - NOView News,ARI,0,0,0,53.62,0.34,3.63,26.72,0.13,0.0,0,0,0.13,14.22,1,Alvin Kamara,RB,NO
Jonathan TaylorRB - INDView News,MIA,0,0,0,76.84,0.57,1.63,12.25,0.06,0.0,0,0,0.11,14.1,1,Jonathan Taylor,RB,IND
James CookRB - BUF,BAL,0,0,0,62.13,0.52,2.17,17.27,0.13,0.0,0,0,0.13,13.75,1,James Cook,RB,BUF
Chase BrownRB - CIN,@CLE,0,0,0,55.38,0.43,2.8,20.49,0.12,0.0,0,0,0.12,13.45,1,Chase Brown,RB,CIN
Omarion HamptonRB - LACView News,KC,0,0,0,63.39,0.43,2.23,16.03,0.06,0.0,0,0,0.06,12.99,1,Omarion Hampton,RB,LAC
James ConnerRB - ARI,@NO,0,0,0,57.71,0.54,2.17,16.08,0.06,0.0,0,0,0.12,12.91,1,James Conner,RB,ARI
Breece HallRB - NYJView News,PIT,0,0,0,60.1,0.4,2.44,18.59,0.06,0.0,0,0,0.12,12.83,1,Breece Hall,RB,NYJ
Chuba HubbardRB - CAR,@JAX,0,0,0,59.08,0.39,2.11,14.91,0.06,0.0,0,0,0.11,11.99,1,Chuba Hubbard,RB,CAR
