Player,Opp,PassYds,PassTD,Int,RushYds,RushTD,Rec,RecYds,RecTD,RetTD,FumTD,TwoPt,Lost,Points,Week,Name,_position,_team
Trey McBrideTE - ARI,@NO,0,0,0,0.19,0,5.99,61.25,0.37,0,0,0,0.06,14.23,1,Trey McBride,TE,ARI
Brock BowersTE - LVView News,@NE,0,0,0,0.97,0,5.79,61.04,0.36,0,0,0,0.07,14.01,1,Brock Bowers,TE,LV
George KittleTE - SF,@SEA,0,0,0,0.0,0,4.59,63.73,0.46,0,0,0,0.07,13.58,1,George Kittle,TE,SF
Mark AndrewsTE - BAL,@BUF,0,0,0,0.29,0,4.01,47.86,0.42,0,0,0,0.07,11.21,1,Mark Andrews,TE,BAL
Sam LaPortaTE - DETQ,@GB,0,0,0,0.0,0,4.26,46.4,0.37,0,0,0,0.06,11.0,1,Sam LaPorta,TE,DETQ
David NjokuTE - CLE,CIN,0,0,0,0.0,0,4.45,44.58,0.27,0,0,0,0.07,10.39,1,David Njoku,TE,CLE
Travis KelceTE - KC,@LAC,0,0,0,0.06,0,4.21,41.61,0.3,0,0,0,0.06,10.06,1,Travis Kelce,TE,KC
T.J. HockensonTE - MIN,@CHI,0,0,0,0.0,0,4.06,43.36,0.29,0,0,0,0.06,10.02,1,T.J. Hockenson,TE,MIN
Evan EngramTE - DENView News,TEN,0,0,0,0.0,0,4.21,39.31,0.26,0,0,0,0.06,9.58,1,Evan Engram,TE,DEN
Dallas GoedertTE - PHI,DAL,0,0,0,0.0,0,3.79,41.34,0.25,0,0,0,0.06,9.3,1,Dallas Goedert,TE,PHI
Zach ErtzTE - WAS,NYG,0,0,0,0.0,0,3.53,33.52,0.25,0,0,0,0.0,8.38,1,Zach Ertz,TE,WAS
Dalton KincaidTE - BUF,BAL,0,0,0,0.0,0,3.66,36.93,0.19,0,0,0,0.06,8.37,1,Dalton Kincaid,TE,BUF
Tucker KraftTE - GB,DET,0,0,0,0.0,0,3.32,35.24,0.25,0,0,0,0.06,8.22,1,Tucker Kraft,TE,GB
Hunter HenryTE - NE,LV,0,0,0,0.0,0,3.29,34.37,0.24,0,0,0,0.06,8.05,1,Hunter Henry,TE,NE
Jake FergusonTE - DALQ,@PHI,0,0,0,0.0,0,3.43,33.82,0.22,0,0,0,0.06,8.01,1,Jake Ferguson,TE,DALQ
Tyler WarrenTE - INDView News,MIA,0,0,0,0.59,0,3.23,33.04,0.22,0,0,0,0.05,7.81,1,Tyler Warren,TE,IND
Kyle PittsTE - ATL,TB,0,0,0,0.0,0,2.76,34.63,0.22,0,0,0,0.0,7.54,1,Kyle Pitts,TE,ATL
Mike GesickiTE - CINQ,@CLE,0,0,0,0.0,0,3.0,32.79,0.2,0,0,0,0.0,7.48,1,Mike Gesicki,TE,CINQ
Brenton StrangeTE - JAX,CAR,0,0,0,0.0,0,2.97,28.62,0.18,0,0,0,0.0,6.91,1,Brenton Strange,TE,JAX
Colston LovelandTE - CHI,MIN,0,0,0,0.0,0,2.9,29.42,0.18,0,0,0,0.05,6.82,1,Colston Loveland,TE,CHI
Mason TaylorTE - NYJ,PIT,0,0,0,0.0,0,2.84,28.73,0.18,0,0,0,0.0,6.79,1,Mason Taylor,TE,NYJ
Dalton SchultzTE - HOU,@LAR,0,0,0,0.0,0,2.88,29.92,0.17,0,0,0,0.06,6.77,1,Dalton Schultz,TE,HOU
