Player,Opp,PassYds,PassTD,Int,RushYds,RushTD,Rec,RecYds,RecTD,RetTD,FumTD,TwoPt,Lost,Points,Week,Name,_position,_team
Ja'Marr ChaseWR - CIN,@CLE,0.0,0,0,1.05,0.0,6.79,84.86,0.68,0.0,0,0,0.06,19.34,1,Ja'Marr Chase,WR,CIN
Justin JeffersonWR - MINQ,@CHI,0.0,0,0,0.75,0.0,5.85,84.25,0.46,0.0,0,0,0.06,16.99,1,Justin Jefferson,WR,MINQ
Amon-Ra St. BrownWR - DET,@GB,0.0,0,0,0.72,0.0,6.31,73.04,0.48,0.0,0,0,0.06,16.45,1,Amon-Ra St. Brown,WR,DET
Puka NacuaWR - LAR,HOU,0.0,0,0,4.18,0.06,5.76,72.74,0.41,0.0,0,0,0.06,16.15,1,Puka Nacua,WR,LAR
CeeDee LambWR - DAL,@PHI,0.0,0,0,4.52,0.06,5.81,68.39,0.45,0.0,0,0,0.06,16.04,1,CeeDee Lamb,WR,DAL
Brian Thomas Jr.WR - JAXView News,CAR,0.0,0,0,1.03,0.0,5.51,74.91,0.46,0.0,0,0,0.06,15.74,1,Brian Thomas Jr.,WR,JAX
Nico CollinsWR - HOUView News,@LAR,0.0,0,0,0.28,0.0,4.95,72.34,0.51,0.0,0,0,0.06,15.15,1,Nico Collins,WR,HOU
Malik NabersWR - NYGQView News,@WAS,0.0,0,0,1.87,0.0,5.46,68.41,0.43,0.0,0,0,0.05,14.97,1,Malik Nabers,WR,NYGQ
Drake LondonWR - ATL,TB,0.0,0,0,0.61,0.0,5.45,68.7,0.45,0.0,0,0,0.06,14.96,1,Drake London,WR,ATL
A.J. BrownWR - PHIQ,DAL,0.0,0,0,0.0,0.0,5.07,73.93,0.41,0.0,0,0,0.06,14.8,1,A.J. Brown,WR,PHIQ
Tyreek HillWR - MIAQ,@IND,0.0,0,0,1.87,0.0,5.07,66.19,0.43,0.0,0,0,0.05,14.36,1,Tyreek Hill,WR,MIAQ
Terry McLaurinWR - WAS,NYG,0.0,0,0,0.37,0.0,4.93,69.13,0.43,0.0,0,0,0.06,14.34,1,Terry McLaurin,WR,WAS
Mike EvansWR - TB,@ATL,0.0,0,0,0.0,0.0,4.47,63.83,0.55,0.0,0,0,0.06,14.03,1,Mike Evans,WR,TB
Ladd McConkeyWR - LACView News,KC,0.0,0,0,0.4,0.0,5.18,65.3,0.4,0.0,0,0,0.06,14.03,1,Ladd McConkey,WR,LAC
Rashee RiceWR - KC,@LAC,0.0,0,0,0.72,0.0,5.06,56.95,0.46,0.0,0,0,0.07,13.45,1,Rashee Rice,WR,KC
