Player,Opp,PassYds,PassTD,Int,RushYds,RushTD,Rec,RecYds,RecTD,RetTD,FumTD,TwoPt,Lost,Points,Week,Name,_position,_team
Josh AllenQB - BUF,BAL,238.18,1.7,0.69,31.93,0.63,0,0,0,0,0.0,0,0.19,21.54,1,Josh Allen,QB,BUF
Jayden DanielsQB - WAS,NYG,232.47,1.62,0.69,47.14,0.37,0,0,0,0,0.0,0,0.19,20.95,1,Jayden Daniels,QB,WAS
Lamar JacksonQB - BAL,@BUF,217.68,1.8,0.54,47.15,0.23,0,0,0,0,0.06,0,0.24,20.8,1,Lamar Jackson,QB,BAL
Jalen HurtsQB - PHI,DAL,208.32,1.32,0.57,33.53,0.88,0,0,0,0,0.0,0,0.19,20.73,1,Jalen Hurts,QB,PHI
Joe BurrowQB - CIN,@CLE,271.12,2.09,0.68,9.65,0.12,0,0,0,0,0.0,0,0.18,19.17,1,Joe Burrow,QB,CIN
Baker MayfieldQB - TB,@ATL,252.63,1.96,0.82,15.87,0.17,0,0,0,0,0.06,0,0.25,18.77,1,Baker Mayfield,QB,TB
Patrick MahomesQB - KC,@LAC,258.74,1.96,0.74,16.12,0.1,0,0,0,0,0.0,0,0.12,18.68,1,Patrick Mahomes,QB,KC
Bo NixQB - DEN,TEN,231.77,1.64,0.73,24.36,0.24,0,0,0,0,0.0,0,0.18,17.89,1,Bo Nix,QB,DEN
Kyler MurrayQB - ARI,@NO,218.24,1.45,0.66,31.24,0.28,0,0,0,0,0.0,0,0.18,17.65,1,Kyler Murray,QB,ARI
Drake MayeQB - NEView News,LV,210.54,1.4,0.73,32.55,0.28,0,0,0,0,0.06,0,0.23,17.4,1,Drake Maye,QB,NE
Brock PurdyQB - SFView News,@SEA,241.63,1.67,0.72,14.89,0.18,0,0,0,0,0.0,0,0.12,17.23,1,Brock Purdy,QB,SF
Trevor LawrenceQB - JAXView News,CAR,242.05,1.58,0.79,15.46,0.18,0,0,0,0,0.06,0,0.24,16.93,1,Trevor Lawrence,QB,JAX
J.J. McCarthyQB - MIN,@CHI,229.3,1.52,0.73,20.14,0.21,0,0,0,0,0.0,0,0.17,16.73,1,J.J. McCarthy,QB,MIN
Jordan LoveQB - GBQView News,DET,242.69,1.68,0.75,10.49,0.13,0,0,0,0,0.0,0,0.19,16.38,1,Jordan Love,QB,GBQ
Caleb WilliamsQB - CHI,MIN,213.66,1.35,0.71,22.49,0.23,0,0,0,0,0.06,0,0.24,16.04,1,Caleb Williams,QB,CHI
Jared GoffQB - DET,@GB,248.75,1.65,0.65,3.72,0.06,0,0,0,0,0.0,0,0.18,15.62,1,Jared Goff,QB,DET
Justin HerbertQB - LACView News,KC,212.15,1.42,0.51,14.37,0.17,0,0,0,0,0.0,0,0.11,15.38,1,Justin Herbert,QB,LAC
C.J. StroudQB - HOU,@LAR,225.36,1.55,0.69,11.2,0.11,0,0,0,0,0.0,0,0.17,15.27,1,C.J. Stroud,QB,HOU
Dak PrescottQB - DAL,@PHI,225.25,1.56,0.67,7.88,0.11,0,0,0,0,0.0,0,0.17,15.02,1,Dak Prescott,QB,DAL
Matthew StaffordQB - LARQView News,HOU,236.0,1.57,0.75,2.28,0.06,0,0,0,0,0.0,0,0.13,14.55,1,Matthew Stafford,QB,LARQ
Bryce YoungQB - CAR,@JAX,195.8,1.19,0.65,18.45,0.25,0,0,0,0,0.05,0,0.22,14.5,1,Bryce Young,QB,CAR
Justin FieldsQB - NYJView News,PIT,159.18,0.86,0.59,40.78,0.35,0,0,0,0,0.0,0,0.26,14.29,1,Justin Fields,QB,NYJ
Tua TagovailoaQB - MIA,@IND,229.74,1.5,0.69,4.48,0.05,0,0,0,0,0.0,0,0.17,14.22,1,Tua Tagovailoa,QB,MIA
Michael Penix Jr.QB - ATL,TB,214.3,1.37,0.71,11.72,0.12,0,0,0,0,0.0,0,0.18,14.16,1,Michael Penix Jr.,QB,ATL
Sam DarnoldQB - SEA,SF,213.6,1.28,0.81,11.57,0.12,0,0,0,0,0.0,0,0.17,13.58,1,Sam Darnold,QB,SEA
Sam DarnoldQB - SEA,SF,213.6,1.28,0.81,11.57,0.12,0,0,0,0,0.0,0,0.17,13.58,1,Sam Darnold,QB,SEA
Russell WilsonQB - NYGView News,@WAS,203.62,1.22,0.61,12.05,0.14,0,0,0,0,0.0,0,0.17,13.51,1,Russell Wilson,QB,NYG
Geno SmithQB - LVView News,@NE,206.34,1.24,0.73,11.28,0.11,0,0,0,0,0.0,0,0.17,13.2,1,Geno Smith,QB,LV
Cam WardQB - TEN,@DEN,179.42,1.06,0.74,20.8,0.16,0,0,0,0,0.05,0,0.21,12.86,1,Cam Ward,QB,TEN
Aaron RodgersQB - PIT,@NYJ,203.69,1.21,0.6,7.23,0.08,0,0,0,0,0.0,0,0.11,12.77,1,Aaron Rodgers,QB,PIT
Joe FlaccoQB - CLEView News,CIN,224.72,1.21,0.99,3.92,0.06,0,0,0,0,0.0,0,0.33,11.94,1,Joe Flacco,QB,CLE
Anthony RichardsonQB - IND,MIA,97.71,0.56,0.4,17.25,0.18,0,0,0,0,0.06,0,0.14,8.23,1,Anthony Richardson,QB,IND
Daniel JonesQB - IND,MIA,100.94,0.5,0.39,14.13,0.13,0,0,0,0,0.0,0,0.14,7.17,1,Daniel Jones,QB,IND
Tyler ShoughQB - NO,ARI,95.04,0.51,0.43,11.35,0.11,0,0,0,0,0.07,0,0.12,6.96,1,Tyler Shough,QB,NO
Spencer RattlerQB - NO,ARI,93.81,0.44,0.37,10.39,0.08,0,0,0,0,0.0,0,0.07,6.15,1,Spencer Rattler,QB,NO
Jalen MilroeQB - SEA,SF,1.95,0.01,0.01,2.59,0.03,0,0,0,0,0.0,0,0.01,0.52,1,Jalen Milroe,QB,SEA
Brandon AllenQB - TEN,@DEN,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Brandon Allen,QB,TEN
Kyle AllenQB - DETView News,@GB,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Kyle Allen,QB,DET
Tyson BagentQB - CHI,MIN,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Tyson Bagent,QB,CHI
Jason BeanQB - IND,MIA,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Jason Bean,QB,IND
Stetson BennettQB - LARView News,HOU,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Stetson Bennett,QB,LAR
Carter BradleyQB - SF,@SEA,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Carter Bradley,QB,SF
Teddy BridgewaterQB - TBView News,@ATL,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Teddy Bridgewater,QB,TB
Jacoby BrissettQB - ARIView News,@NO,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Jacoby Brissett,QB,ARI
Max BrosmerQB - MINView News,@CHI,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Max Brosmer,QB,MIN
Jake BrowningQB - CIN,@CLE,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Jake Browning,QB,CIN
Shane BuecheleQB - BUF,BAL,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Shane Buechele,QB,BUF
Sean CliffordQB - GB,DET,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Sean Clifford,QB,GB
Brady CookQB - NYJ,PIT,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Brady Cook,QB,NYJ
Kirk CousinsQB - ATL,TB,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1,Kirk Cousins,QB,ATL
Lamar JacksonQB - BAL,CLE,213.22,1.77,0.53,44.78,0.24,0,0,0,0,0.06,0,0.24,20.35,2,Lamar Jackson,QB,BAL
Josh AllenQB - BUF,@NYJ,222.53,1.59,0.65,29.83,0.59,0,0,0,0,0.0,0,0.18,20.12,2,Josh Allen,QB,BUF
Jayden DanielsQB - WAS,@GB,219.0,1.53,0.65,44.41,0.35,0,0,0,0,0.0,0,0.18,19.76,2,Jayden Daniels,QB,WAS
Jalen HurtsQB - PHI,@KC,194.63,1.23,0.53,31.33,0.82,0,0,0,0,0.0,0,0.18,19.34,2,Jalen Hurts,QB,PHI
Joe BurrowQB - CIN,JAX,259.71,2.0,0.65,9.24,0.12,0,0,0,0,0.0,0,0.18,18.37,2,Joe Burrow,QB,CIN
